43,47,82
88,53,52
5,13,45
35,21,5
34,53,43
19,94,5
99,76,98
25,41,32
48,18,86
44,31,75
86,98,28
52,91,22
81,27,19
16,32,5
58,3,87
10,39,24
55,93,4
54,68,8
22,24,48
94,10,67
12,6,51
28,14,10
74,90,61
81,22,47
99,22,46
54,67,39
41,65,72
94,34,77
13,90,32
92,22,7
17,65,11
80,70,34
90,26,96
2,65,70
38,2,45
49,68,94
25,22,42
75,67,51
67,73,72
84,53,44
6,48,87
96,15,84
4,0,80
26,55,50
37,57,100
78,68,26
37,82,13
68,100,3
1,83,64
34,34,23
29,57,0
87,37,64
99,69,66
40,89,4
24,20,41
18,35,1
30,51,91
74,17,20
78,41,14
5,19,30
21,83,0
76,70,2
58,55,47
52,38,63
69,24,9
64,87,100
81,80,88
33,59,56
80,72,36
52,44,27
47,33,68
58,42,54
60,39,31
98,44,75
55,74,83
0,57,57
26,94,28
64,91,52
15,75,9
86,100,99
85,86,9
67,79,13
6,37,0
88,12,97
5,36,94
16,47,89
27,85,59
74,43,30
79,27,78
38,0,15
50,99,6
10,63,42
67,2,65
17,30,74
58,75,18
64,73,17
36,87,48
6,81,100
57,100,52
26,57,47
